speaker,speech,date,entity
mario draghi,"Okay. Thank you. Then for me, if I have this assurance there is no need to raise this point. Thank you. Then I’m finished.",2015-02-24 00:00:00,ECB
wolfgang schäuble,"Sorry, may I, may I… Jeroen, can I take this ?",2015-02-24 00:00:00,Germany
jeroen dijsselbloem,"Yes, please.",2015-02-24 00:00:00,EG President
wolfgang schäuble,"Uh, I would be… Uh, uh, it must be totally clear, because I will cr- it will create, uh, in- incredible problems in my parliament. We have in, in no way any amendment through the given agreement. We have stated in… on, on, on Friday, um, onto the . Therefore, my, my, my, my demand is only don’t create the discussion or misunderstandings that there will be any amendment, uh, to the, to the given agreement.",2015-02-24 00:00:00,Germany
jeroen dijsselbloem,"Um, don’t worry uh, Wolfgang, there will be no changes or amendments to the statement we, we saw Friday. In that particular sentence, there are two aspects. One is, as you said that it’s… the release of these funds will be on request by the SSM, but you could also read they will be released on request by the SSM. In other words, formally, there may be a decision to be taken, um, but they will be released on request by the SSM. In other words, if the SSM finds it necessary, this recapitalization, the funds will be released. So there are both aspects in one sentence. Um, we’re not going to change the statement, that would cause a lot of problems of course. Uh, if anyone wants further clarification, I think it should take place in the Euro Working Group. It’ll be about procedures, but not about the political decision we took. If, um, I may be continue, I would like to, uh, ask, uh, Christine, for her assessment.",2015-02-24 00:00:00,EG President
christine lagarde,"Thank you very much, Jerome and good afternoon to all of you. I will not repeat the content of the letter that we issued last night. I could, uh, literally endorse and exalt all the points made by Mario, except the last one, which is quite separate. The two points I will come back to to insist upon, is number one, that the discussions on completion of the review, which should start as soon as possible, and for which we are ready, to be successful, can not be merely confined within the policy parameters outlined in the government list. And I think the reference to the MOU and the NESP by Mario was particularly relevant. The second concern that I have, which was also mentioned by Mario, is the constant and recurring noise that we hear from Athens, and which echo around the world in a way that is inconsistent with what is indicated in the memorandum of the list issued by the Greek authorities. And there is real constant reference to backtracking. That includes expectation of im- impending changes to the pension scheme that backtrack on policy commitments, as well as changes to the general tax, uh debt installment fees, that already have, uh, weakened, uh, the revenue collection by the Greek authorities. So, Yanis, if you would, with us on the call, I would urge you to reduce that noise and make very clear that there is one single list and not a Greek list separate from your list. Finally, I think it could be extremely helpful, certainly from our perspective, if, uh, Yanis could explain to all of us the government’s current liquidity position, as well as how it is proposed to move forward. With that, as I said, uh, we stand ready, and we’re eager to, uh, begin the real work, which will not be about putting, uh, words on, on paper, which will, we’re not associated to over the weekend, but that’s fine. But clearly, the actual review work now needs to begin. Thank you.",2015-02-24 00:00:00,IMF
jeroen dijsselbloem,"Thank you Christine. Um, I would now like to turn to Yanis to pick up on a couple of points raised. Uh, I think we all fully understand that the detailed work has yet to begin. Uh, and we must all fully understand that all the legal documents and the basis for the program of support is unchanged until further, um, works out, details discussed and agreed with the institutions. So that’s the basis on which we, uh, work. Uh, Yanis, can I ask you to react on the couple of issues raised by, uh, Mario and the Commission, uh, Christine?",2015-02-24 00:00:00,EG President
yanis varoufakis,"Yeah, sure. Thank you so much, uh, Jeroen. Let me… how I would begin by thanking, um, you, as the president of the Eurogroup, for your role in helping establish the necessary common ground to reach where we are at present. I also want, want to thank the institutions for, uh, um, the constructive relationship we had over the last 48 hours, and for so swiftly reading our list and coming to the verdict or the recommendation that you have come. I do believe, and the government believes, here in Athens, that we now have a firm basis on which to build a solid agreement, and, uh… for the next four months at least, and, uh, work towards, uh, the review. Let me now, uh, do as, uh, you said Jerome, and address, uh, some specific issues that were mentioned. Um, there are some minor issues which we can deal with very, very swiftly. That the letter wasn’t signed, it was sent at midnight, so, um, there were technical issues involved there, but we can deal with that. This is a response to one of the commissions points. Um, the question of no unilateral moves, and the need to collaborate with institutions in everything we do has been mentioned by all three institutions. I shall convey this view to my government. It is our in- intention not to make any such moves, as we have stated in our letter to the Eurogroup. We have, uh, every intention to collaborate with institutions and to make sure whatever we introduce in parliament and whatever measures are, um, discussed and deployed, uh, should be discussed and deployed in conjunction with agreement with institutions. Pierre Moscovici mentioned, uh, ELSTAT, the Greek statistics office, and suggested there should be no revision of the legal, um, framework and the autonomy. We understand perfectly well the need not to return to the bad old days of Greek statistics, and we as a government have absolutely no intention whatsoever of interfering with the work of ELSTAT. But let me say that this kind of autonomy has to cut both ways, in the sense that both Eurostat, and the Greek government, and every member state and all the institutions must have, um, confidence in the workings of ELSTAT. At the moment, I cannot tell you that I do. That is a separate issue from, uh, keeping ELSTAT at an arms length from government. What I would like to do is discuss with institutions and with Eurostat, ways in which we can regain confidence in ELSTAT. But that is completely separate from the point that Pierre Moscovici made. I shall reiterate the point. We shall under no circumstances, uh, do anything to jeopardize the autonomy of ELSTAT, uh, and we shall do nothing without the consent of the Commission of the IMF, of the ECB, uh, of the Eurogroup in this direction. But I do believe, this is the view that some of us in this government have, who’ve looked into the operation of ELSTAT over the last few months, that we need, uh, for all of us together to have another at the way that ELSTAT functions. Uh, but again, let me make this very clear, this is not something we intend to do alone. We want to do it in conjunction with you. Regarding the financial sector and tax compliance, this is a point that each one of you made, each one of the institutions made, um, there is, um, lack of trust regarding installment schemes. Let me remind you that this installment scheme that is now on the statutes in… here in Greece, was introduced by the previous government. And I do believe that, uh, the institutions had, uh, objections to that. We are happy to look at these, uh, installment schemes together with our… with, with institutions and with all our partners. There is a very crucial problem here. Th- th- th- th- the level of arrears, uh, tax arrears, as you probably all know reaches 90 percent of the Greek government budget. Now that is a huge amount that has to do with… is a result of the deep crisis of this, uh, social economy. And we need to deal with this, and we need to deal effectively with it by ensuring that whatever it is that we do does not encourage, indeed, punishes strategic non-payment, while at the same time finds ways of dealing with dealing, of giving those who can afford to pay a portion only of what they owe a way of doing this, especially given the current state of our financial situation. Um, on the NPLs, and I take very seriously what Mario Draghi and the ECB are saying about the need to, um, ensure that the capitalization of banks is not threatened by, uh, our policies regarding, um, NPLs. Again, it is important to note that we have very special circumstances in Greece, which I’ll not do… make any, um, uh, unilateral move on this, and of course we need to have the backing of the ECB in everything we do. But let me…since we are talking about this, let me point that, that there are special circumstances. We have a realistic market that has tanked and the notion that we are going to have options of first residences in order to bolster the capitalization of the banks is one that, uh, that needs to be discussed. And, uh, we need to discuss it with you. This is not the venue to do it. But there are serious worries that a massive increase in auctions, uh, in the tanking market is not going to help the banks while at the same time is going to create side-effects in the capacity of the social economy, both to increase, uh, the tax take of the government, and, uh, to increase economic activity. But let me say that, uh, this government is determined to discuss with institutions and arrange common agreement with them on how to deal with these, with these matters. Now, on the question that Mario Draghi raised regarding the FSF and the HFSF, uh, let me just state that, um, for the record to rest everyone… um, rest assure everyone that this government is not going to request for an amendment of the Friday Eurogroup agreement. Um, we are more than happy to go along with that agreement, and to see the FSF retain the control of the remaining funds, in order to use them for the purposes of recapitalization of the banking sector and resolution, possible resolution. Uh, on the, on the question of, uh, a rollback, especially when it comes to privatizations, um, on this matter, as you will see from our… from the relevant entry in our list, we have, uh, made it very clear that completed, uh, um, completed, uh, privatizations are going to be considered to be sacrosanct from this government. The ones that have been launched will be dealt with in accordance to the law, and in ways that, uh, combine the public interest with the need, the necessity of collaborating with institutions and with the Eurogroup. Let me finish by, uh, addressing Christine Lagarde’s two points. The first one is an assurance that I can give Christine and everybody in this conference call that there exists no separate Greek list, separate from the one you have. Of course, as you can imagine, our… this list is only, uh, a five page document. Uh, we have, uh, um a series of, uh, commitments to the Greek public. We shall not make any moves, as I said before, that, uh, undermine the bonds of trust that we are trying to build currently. Um, but there is no such thing as a separate Greek list. There may be different interpretations of, uh, the current, uh, state of negotiation, of exchange between us, of commitment. And let me just make this t- t- this point a bit more tangible. I heard from all three institutions the statement that, um, this list is not a replacement of the MOU, and that this list is going to simply being grafted upon the MOU or we will have to negotiate ways in which the current MOU will have to be amended. Now, as you know, we’ve spent three Eurogroups discussing the imperative of combining the existing program with, uh, the, the new government’s priorities. And I th- I have… I am… I was under the impression, and this government was under the impression that we are making a fresh start without challenging the legal existence of the MOU. We shall insist on maintaining, in a collegial manner, this constructive ambiguity, um, and we are going to try do, to do our, ou- our, our best in order to ensure that the review is completed, on the understanding that this governments, um, um, list that you have in front of you, is taken, um, as the starting point regarding th- th- the judgment that is going to be passed upon us over the next four months. The next four or five months is a very short space of time. If we can do what we agree that we should do by April, um, and do it in the spirit that con- that confirms both the existing program and the intention of moving on, and moving ahead, and moving to a new relationship after June, I think that will be an excellent way of moving ahead. I was asked also by Christine Lagarde to explain the liquidity condition of the government. I’m not in a situa- in, in, in, uh, in a position to do this presently. Uh, the… as you kn- as everybody knows, especially the International Monetary Fund, our liquid- liquidity condition given the destabilization of the Greek economy over the last two months, uh, is not good at all. But my understanding was that today, what we are doing is we are setting the scene, establishing the base, the foundation, for beginning immediate discussions on all those matters including the fiscal cap that we are facing over the next few weeks, in particular, the repayments of the IMF loans in installments, which are coming up soon. Um, it was a discussion we couldn’t have until today’s hurdle has been overcome, but it is a discussion that we are prepared to begin even tonight, if you so wish. Um, I think I have spoken enough. I want to thank, once more, the institutions. The way I understand this conference call is to answer the question whether our list is sufficiently comprehensive to act as the starting point of a process that will stabilize Greece and our relationship with, uh, the Eurogroup and the institutions, in order to build trust and to move ahead. Thank you.",2015-02-24 00:00:00,Greece
jeroen dijsselbloem,"Thank you, Yanis. Um, let me for, uh, opening, uh, the, the, the floor to other ministers. Uh, we iterate that the basis that we are working on is the Eurogroup statement which, um, uh, talks about on the base of the framework of the existing arrangements, uh, underpinned by a set of commitments which are then spelled out. And I think one of the key ones there is that starting from the current arrangement, there can be use of the given flexibility that had to be always after consulting and agreeing with the institutions any changes to the arrangements. I think that could… that clear issue, and you underlined the, um, uh… how the Greek government is committed on this point. Um, on top of that, we now have the list which is a third list of reform measures, based on the current arrangements and the institution that provided us with their first views, which, um, uh, was, if I summarize it, that the list is sufficiently comprehensive to be a valid starting point for a successful conclusion of the reissue. Um, I think those are the key, uh, elements. This is where we are, this is how we will work, and all of this… If the national procedures are started and successfully, um, finished by the end of the week, then, very intensively, the work can start on many of the issues that were brought up, uh, and, um, many of the issues that you mentioned. Now I’d like to-",2015-02-24 00:00:00,EG President
christine lagarde,"Jeroen? Jeroen? Can I, can I just come in for uh, uh, a few seconds to, um, reinforce your point, and also mention just for the clarity of what we bring in the next few days, that the review is a comprehensive review. It can not be a scattered, fragmented review of some items and not others. It has to be comprehensive in order to lead to success, and then . But it’s comprehensive.",2015-02-24 00:00:00,IMF
jeroen dijsselbloem,"That’s right. Thank you for your remark. Um, the floor is to new ministers, who can I give the floor? Uh, any of-",2015-02-24 00:00:00,EG President
wolfgang schäuble,"If I may… uh, uh, Jeroen, if I may I can, I can say a few words.",2015-02-24 00:00:00,Germany
jeroen dijsselbloem,"Please, Wolfgang.",2015-02-24 00:00:00,EG President
wolfgang schäuble,"I would, uh, uh, start, uh, saying to the institutions for this, uh, first view on, on, on, on the list that we got, um, in time, uh, from Greek authorities, and therefore we are in line with the statement from Friday, and that is the, the key. And on this, on this basis, I think, uh, it would be, it would be very helpful, uh, that we will not, uh, uh, change anything that was just mentioned in the HFSF. And it must be totally clear what we are asking of our parliaments is an extension of the given agreement, nothing else. Not an amendment of the agreement. Uh, it has to be, uh, very clear. We will do it as, uh, already initiated to measure and the legislation procedures, I need to, of course, um, the, the common decision of the Eurogroup in this conference call, but I think on the, on, in, on the basis of the list we got from, from Greek authorities, uh, and uh, with, with, with the use of the three institutions, uh, we should, uh, we should move on in this way. I would, uh…  but I won’t like to repeat it. Uh, it was an issue of the budget 2015, that is a major issue for, for the ongoing review, uh, for the, for a successful revision of the program. And then I would like, uh, to add, uh, that in the list of the, of the Greek authorities, the BRRD implementation is not mentioned, and I think, uh, Greece, uh, should transpose this directive into Greek law as a matter of high priority. And last, uh, last in my, uh, in the area of labor market reforms, the issue of collective dismissal, that is not yet addressed as also I think it should be… have in mind. And, uh, the, uh, the end of April when we will… when, when that is the time  will be further specified and then agreed with the institution. Uh, but, once again, uh, it would be clear on this pages, we could, uh, agree to a common statement that will align us to trust you on the basis of first view of the three institutions. There we would, uh, uh, uh, go on in the national, uh, procedures to, to agree on the extension of the program in this week.",2015-02-24 00:00:00,Germany
jeroen dijsselbloem,"Thank you Wolfgang. Um, think on the issue of the budget of 15, um, the statement, uh, made quite clear where we stand in terms of the fiscal targets, the Friday statement and the other two issues will have to be, uh, picked up in the process in the coming weeks. Um, and the same would go for the, uh, collective, uh, uh, dismissals. Any changes there would, uh, be wanted or necessary or required, that would have to be in the context of, uh, changes to the MOU, which can only be decided together with the institutions, at the latest, end of April. Um, any other comments or questions from the ministry?",2015-02-24 00:00:00,EG President
jānis reirs,Jeroen  speak-,2015-02-24 00:00:00,Latvia
jeroen dijsselbloem,"Yes, Yanis.",2015-02-24 00:00:00,EG President
jānis reirs,"Thank you, Jeroen. I would like to thank, uh, the institutions, uh, for their job, and, uh I agree with this all. Uh, there are numerous systems in institutions I would like to , probably it will be. And I would love, uh, I would like to ask, uh, some, uh, help or, or from, from Yanis, so from Yanis. Yanis, help us please to keep in calm our public, uh, opinion and our public opinion. An- and, uh, don’t push us to answer, um, your, uh, your signals from Greece. Because it’s, it’s not, uh fair that uh, we sit in one room and, uh, decided about one, and, uh, then we get, uh, uh, opinion of, uh, one hundred fifty, uh, Greek, uh, the Greeks. And, uh, I think it’s not, not fair, and our… we have, we have electorates too in our countries, and, uh, uh, we should something tell them, and, uh, believe what they say. Allowed to keeping calm on this situation. Thank you.",2015-02-24 00:00:00,Latvia
jeroen dijsselbloem,"Thank you Yanis. Um, I think, uh, your point on helpful communication is made by all of us. Also, the institutions refer to it. It will be very helpful for the credible whole process that we are now entering that we communicate, uh, in one way, and not differently in Europe and at home. Uh, I think that’s a very valid point to make. Any other new-",2015-02-24 00:00:00,EG President
luis de guindos,"Jeroen, this is Luis..",2015-02-24 00:00:00,Spain
jeroen dijsselbloem,Luis. Go ahead.,2015-02-24 00:00:00,EG President
luis de guindos,"Thank you very much. First of all, let me thank the institutions. Uh, despite the fact that, uh, you know, these are the endorsements, with caveats that I have heard in my life. But also, I think perhaps an indication of, uh, you know, a high level of escape criticism, that I think that is something that is relevant. But anyhow now I would like to stress some points. The first one is that we are starting a process. And this is something that is, uh, you know, quite, uh, quite relevant, because, uh, you know, we will have to finalize uh, in April a new memorandum that will be based in the, in the present arrangement. And this is something that, uh, I think that we have to, to maintain, and to keep it very clear. Another one is about communication. I fully agree with Janis that, uh, the Greek government, you know, is  approaches only create problems, you know, in terms of communication. So it will be, uh, you know, so important that, uh, all the, all the messages are fully aligned with the process that we have, uh, started now, and that, uh, you know, the beginning of the, of the, of the process, and that, uh, creating unnecessary noise is not going to be very helpful. Thank you very much.",2015-02-24 00:00:00,Spain
jeroen dijsselbloem,"Okay. Thank you Luis. Uh, any other colleagues?",2015-02-24 00:00:00,EG President
michael noonan,"Um, hello?",2015-02-24 00:00:00,Ireland
jeroen dijsselbloem,Hello. Who’s there?,2015-02-24 00:00:00,EG President
michael noonan, it’s Michael.,2015-02-24 00:00:00,Ireland
jeroen dijsselbloem,"Michael, go ahead.",2015-02-24 00:00:00,EG President
michael noonan,"Yeah, I’d like to welcome the work of the institutions also, like other colleagues have done. Uh, when I saw the Greek list I was disappointed. I thought it lacked specifics, and there’s no arithmetic on . But in the context of what we were seeking as an extension to the existing program, and any substitution of conditions, uh, would have to be fully costed and, uh, fully vouched for by the institutions, uh, then I’m, I’m prepared to, uh, wait and see, and go ahead with the process. But I can see, uh, some difficulties at the end of the process for a successful review of the program. That being said, I won’t, uh, I won’t debate the meeting.",2015-02-24 00:00:00,Ireland
jeroen dijsselbloem,"Thank you, Michael. I think it’s, uh, fair to remember that, um, this was only a first list of reform measures from the Greek authorities, which we asked, and it’s not been, uh, elaborated on, not been negotiated on with the institutions. So it is what it is, uh, and the question was formulated by the Eurogroup whether it was, um, comprehens- sufficiently comprehensive. So I think that’s where we stand, and that the real negotiations and getting the details right is a long process that’s yet to start. Any other colleagues at this point?",2015-02-24 00:00:00,EG President
maria luís albuquerque,"Jeroen? Maria Luís. Can I ask a question? Uh, it’s, um,  I’d also like to echo, um, thanking the institutions for the, this first assessment, and I’m sure we’ll all, all have a lot to discuss in, uh, in the coming weeks and months. But, uh, getting to the point that several colleagues raised, communication is critical here. So, uh, maybe you were going to say it anyway, but, uh, I think that we should have an agreement here on what communicators this will be. Letters of assessment via the institution have been made public. Uh, will there be a statement plus debate meeting? How do you intend to, uh, to communicate going forward, because we have the whole press waiting to hear what comes out of this conference call. Thank you.",2015-02-24 00:00:00,Portugal
jeroen dijsselbloem,"Um, Maria Luís, thanks. That was my… the last, uh, item on my agenda today, to talk about communication. So, let me come back to that in a minute. Let me just check if, uh, any more, uh, comments on the list and the Commission’s first… sorry, the institution’s first view on the list. Uh, if not, we can turn to communication issues. One is that your question, what is public, or going to be made public, in the-",2015-02-24 00:00:00,EG President
mario draghi,"Jeroen? Jeroen? Before, before… just to get, uh, make sure that I have understood. Do I understand that, uh, the previous agreement will be in… fully respected?",2015-02-24 00:00:00,ECB
jeroen dijsselbloem,Absolutely. Absolutely.,2015-02-24 00:00:00,EG President
mario draghi,Thanks. Thank you.,2015-02-24 00:00:00,ECB
jeroen dijsselbloem,"I’m not going to change a single word. Um, um, the first question by Maria Luís was what documents will be made public. The commission has made it’s letter on the list public, I don’t think the other two institutions have done the same. So perhaps they can indicate whether they want to make it public or not. And Yanis, perhaps you can indicate whether your list is made public, or will be made public, or how would you like to proceed with that? Uh, can I ask Mario first?",2015-02-24 00:00:00,EG President
mario draghi,"Yes, certainly. We can make it public. No problem.",2015-02-24 00:00:00,ECB
jeroen dijsselbloem,"Uh, thank you. Christine?",2015-02-24 00:00:00,EG President
christine lagarde,"Yeah, we can make it public too. We thought it would be polite to the group to wait until the conference call was over.",2015-02-24 00:00:00,IMF
jeroen dijsselbloem,Agreed. Thank you. Yanis?,2015-02-24 00:00:00,EG President
yanis varoufakis,"Yes, uh, we would very much like to make our list public. Uh, for some reason it has already been made public even though it certainly did not leak from our side. Um, but, l- l- let… if I may say, on the question of communication, uh, Jeroen, that, uh, my… The view that, uh, Luis, uh, expressed is the one that we can run with very happily and, uh, profitably. And that is from our perspective, we see today as the beginning of a new process. That we very much look forward to completing in association with our partners and institutions.",2015-02-24 00:00:00,Greece
jeroen dijsselbloem,"Thank you. Um, and colleagues, as we are speaking, uh, there is a very short Eurogroup statement, a draft, which is being sent to, uh, your deputies. It should come in, uh, any minute. Uh, it reads… It uses exactly the words of Friday’s statement, uh, and it sounds like this. “The Eurogroup today discussed the first list of reform measures presented by the Greek authorities, based on the current arrangement, which will be sp- further specified and then agreed, but with the institutions, at the latest by the end of April. The institutions provided us with their first view, that they consider this list of measures to be sufficiently comprehensive to be a valid starting point for a successful conclusion of the review. We therefore agreed to proceed with the national procedures, with a view to reaching the final decision on the extension by up to four months, on the current master financial assistance facility agreements. We call on the Greek authorities to further develop and broaden the list of reforms, measures in close coordination with the institutions, in order to allow for a speedy conclusion… I should say, a speedy and successful conclusion of the review.” So that is the draft statement. It should come in, uh, in, in your deputies email boxes. Perhaps you can, uh, look at it for a minute, and I would ask for reactions.",2015-02-24 00:00:00,EG President
yanis varoufakis,"Jeroen, I’m quite happy… This is Yanis Varoufakis. I’m quite happy to accept it just from having heard it.",2015-02-24 00:00:00,Greece
jeroen dijsselbloem,Thank you.,2015-02-24 00:00:00,EG President
mario draghi,Jeroen? Jeroen?,2015-02-24 00:00:00,ECB
jeroen dijsselbloem,"Yes, Mario.",2015-02-24 00:00:00,EG President
mario draghi,"On…I have one, one suggestion. In the last, uh, paragraph it says, “We call on the Greek authorities to further develop and broaden the list of reform measures, based on current arrangements.”",2015-02-24 00:00:00,ECB
jeroen dijsselbloem,Okay. ,2015-02-24 00:00:00,EG President
mario draghi,On the current arrangements.,2015-02-24 00:00:00,ECB
jeroen dijsselbloem,It will become the list of reform measures based on current arrangements. That is the-,2015-02-24 00:00:00,EG President
mario draghi,Yeah.,2015-02-24 00:00:00,ECB
jeroen dijsselbloem,…which we were.,2015-02-24 00:00:00,EG President
mario draghi,Yeah.,2015-02-24 00:00:00,ECB
jeroen dijsselbloem,"Okay. Any other comments from colleagues? If not, I think that, uh, we can use this, and we’ll put that out, um, shortly after this conference call. And any other business, let’s see. I think there is a Euro Working Group on Thursday, a regular meeting on Thursday, uh, we can take stock of, uh, national consultations. They may not all be finalized by then, but just to take stock, and, uh, talk about the further procedures for the ESF Board of Directors. Um, And they can… well, in the end, take the formal decision, um, following the Euro Working Group meetings, and once the national procedures have been concluded, of course. At our next meeting, this is the 9th of March, we will again take stock of the developments in Athens, and of course, in the mean time, I invite the institutions and the Greek authorities to continue their hard work. Thanks again for all the hard work that has been done over the last couple of days, but to continue their work, that would allow for a successful conclusion of the review as soon as possible. Um, if no other comments then I think I can thank everyone for joining this meeting and I will close this Eurogroup meeting. Thanks again. Thank you.",2015-02-24 00:00:00,EG President
yanis varoufakis,Thank you.,2015-02-24 00:00:00,Greece
marco buti,"… coming in the next eh, in the next days and erm even if erm the Greek authorities manage to overcome erm the erm, the erm  of the next couple of days, the situation would become… let’s say erm, pretty critical in early erm… in early April. So I think this is basically… just to set the scene in very general terms… so there is a need clearly to summarize the, the two… erm you know, accelerate the pace of the discussions in Athens and go in-depth erm, on the substance of erm, of issues. Erm if you agree Thomas, I give the phone to Declan who may add erm, some additional points.",2015-03-17 00:00:00,European Commission
thomas wieser,"Sure, thanks very much .",2015-03-17 00:00:00,EWG President
declan costello,"Yeah, thank you. Erm, so just, just to add a bit more detail. So the meetings themselves, the technical-level meetings began on Friday. Erm this follows erm, first the meeting of the so-called Brussels Group which established the procedure and the arrangements for these .",2015-03-17 00:00:00,European Commission
thomas wieser,.,2015-03-17 00:00:00,EWG President
