speaker,speech,timestamp,date
pierre moscovici,"uh, second, on privatization, um, our feeling is that the government should instruct the agency to proceed with the ongoing standards also swiftly. so, the commission, uh, looks forward to, to, to, to working with the new administration to, to elaborate what are, are still at the moment general commitments, and transform these into, uh, clear policy actions. we would also like to underline our willingness to continue to provide, uh, technical assistance in key areas, to, to assist in the design and, and the implementation of policies. uh, to sum up, i won’t be longer, in the view of the commission, this is, is sufficiently comprehensive to be, uh, a valid starting point for a successful conclusion of the review. it is not at all something that means that the review is concluded or on the way to be concluded, and i think this was, uh, what we were asked by the eurogroup, and our answer is clear on that point.",1900-01-01 00:04:42,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you very much, uh, as always, pierre. uh, let me turn to the uh, ecb. mario?",1900-01-01 00:05:44,2015-02-24 00:00:00
mario draghi,"yes, thanks jeroen. thank you. as, uh, as we discussed the… in such short time, was certainly not possible for the authorities to come up with their own list of complete proposals and commitments, which would allow us, the institutions, but especially ecb to assess the impact on growth, public finances and financial stability. i note that the commitments outlined by the authorities differ from existing program commitments in a number of areas. but having said that, the list sent by the greek authorities covers a wide range of reform areas, and in this sense it’s appreciably comprehensive to be a valid starting point for a successful conclusion of the review.",1900-01-01 00:05:50,2015-02-24 00:00:00
mario draghi,"now, let me make a few additional remarks. we understand consistently with the eurogroup decision last friday, that the list doesn’t call into question that the current arrangement, and asks existing commitments in the current mou and mefp are the basis for the review. in cases where the list deviates from the mefp and the mou, we will assess during the review, where the measures which are not accepted by the authorities are replaced with measures of equal or better quality in terms of achieving the objectives of the program. we would appreciate if the greek authorities would make very clear and public that there will be no rolling back of existing reforms or commitments in any of the areas mentioned in their list. any new measures or laws in these areas will only be implemented once agreed with the three institutions. unfortunately we still continue to hear conflicting messages between the communication to the greek general public and the comit- and the commitments to this group.",1900-01-01 00:06:40,2015-02-24 00:00:00
mario draghi,"second point concerns the payment culture. the list we are discussing today was not used for this purpose. in the coming days, we would expect very clear statements from the highest levels. the concern is to previous announcements. first, there will be no initiatives by the government on broadening or relaxing installment schemes, and the measures to strengthen tax enforcement and payment discipline will urgently be discussed with the three institutions. unfortunately, even this morning, we are hearing conflicting message from athens.",1900-01-01 00:08:03,2015-02-24 00:00:00
mario draghi,"second, there would be no new moratorium on auctioning of residences, nor any other restrictions, which makes it difficult for banks to effectively work out the ntls. i think it should be in the interest of greece, first and foremost, to have a viable credit system. if banks are not viable, they won’t give any credit. i made this point several times.",1900-01-01 00:08:41,2015-02-24 00:00:00
mario draghi,"there will also be no initiative for any general or horizontal debt relief for private creditors. i mean, jerome, with your agreement i would like to make a point on the difference between the eurogroup statement and uh, this, uh, the statement here about the  bonds for bank recapitalization. can i make it now?",1900-01-01 00:09:03,2015-02-24 00:00:00
jeroen dijsselbloem," bonds, uh, would take place. it would be… it would take place on the basis of the ecb ssm decision. they are the ones who trigger the use of these funds, uh, for recapitalization purposes. uh, that’s what we agreed in eurogroup. uh, any further debate on that issue, i think, should be… should take place in the euro working group, if that’s all right.",1900-01-01 00:09:25,2015-02-24 00:00:00
mario draghi,"thank you, jeroen. so i… i understand as the draft amendment of the master financial assistance facility agreement that has circulated yesterday will be in line with the statements agreed on friday.",1900-01-01 00:10:11,2015-02-24 00:00:00
jeroen dijsselbloem,"yes. and if anyone has any further comments on that, then i think it should take place in the euro working group, uh-",1900-01-01 00:10:26,2015-02-24 00:00:00
mario draghi,"okay. thank you. then for me, if i have this assurance there is no need to raise this point. thank you. then i’m finished.",1900-01-01 00:10:33,2015-02-24 00:00:00
wolfgang schäuble,"sorry, may i, may i… jeroen, can i take this ?",1900-01-01 00:10:41,2015-02-24 00:00:00
jeroen dijsselbloem,"yes, please.",1900-01-01 00:10:48,2015-02-24 00:00:00
wolfgang schäuble,"uh, i would be… uh, uh, it must be totally clear, because i will cr- it will create, uh, in- incredible problems in my parliament. we have in, in no way any amendment through the given agreement. we have stated in… on, on, on friday, um, onto the . therefore, my, my, my, my demand is only don’t create the discussion or misunderstandings that there will be any amendment, uh, to the, to the given agreement.",1900-01-01 00:10:49,2015-02-24 00:00:00
jeroen dijsselbloem,"um, don’t worry uh, wolfgang, there will be no changes or amendments to the statement we, we saw friday. in that particular sentence, there are two aspects. one is, as you said that it’s… the release of these funds will be on request by the ssm, but you could also read they will be released on request by the ssm. in other words, formally, there may be a decision to be taken, um, but they will be released on request by the ssm. in other words, if the ssm finds it necessary, this recapitalization, the funds will be released. so there are both aspects in one sentence. um, we’re not going to change the statement, that would cause a lot of problems of course. uh, if anyone wants further clarification, i think it should take place in the euro working group. it’ll be about procedures, but not about the political decision we took.",1900-01-01 00:11:49,2015-02-24 00:00:00
jeroen dijsselbloem,"if, um, i may be continue, i would like to, uh, ask, uh, christine, for her assessment.",1900-01-01 00:12:45,2015-02-24 00:00:00
christine lagarde,"thank you very much, jerome and good afternoon to all of you. i will not repeat the content of the letter that we issued last night. i could, uh, literally endorse and exalt all the points made by mario, except the last one, which is quite separate. the two points i will come back to to insist upon, is number one, that the discussions on completion of the review, which should start as soon as possible, and for which we are ready, to be successful, can not be merely confined within the policy parameters outlined in the government list. and i think the reference to the mou and the nesp by mario was particularly relevant.",1900-01-01 00:12:55,2015-02-24 00:00:00
christine lagarde,"the second concern that i have, which was also mentioned by mario, is the constant and recurring noise that we hear from athens, and which echo around the world in a way that is inconsistent with what is indicated in the memorandum of the list issued by the greek authorities. and there is real constant reference to backtracking. that includes expectation of im- impending changes to the pension scheme that backtrack on policy commitments, as well as changes to the general tax, uh debt installment fees, that already have, uh, weakened, uh, the revenue collection by the greek authorities. so, yanis, if you would, with us on the call, i would urge you to reduce that noise and make very clear that there is one single list and not a greek list separate from your list.",1900-01-01 00:13:45,2015-02-24 00:00:00
christine lagarde,"finally, i think it could be extremely helpful, certainly from our perspective, if, uh, yanis could explain to all of us the government’s current liquidity position, as well as how it is proposed to move forward. with that, as i said, uh, we stand ready, and we’re eager to, uh, begin the real work, which will not be about putting, uh, words on, on paper, which will, we’re not associated to over the weekend, but that’s fine. but clearly, the actual review work now needs to begin. thank you.",1900-01-01 00:14:53,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you christine. um, i would now like to turn to yanis to pick up on a couple of points raised. uh, i think we all fully understand that the detailed work has yet to begin. uh, and we must all fully understand that all the legal documents and the basis for the program of support is unchanged until further, um, works out, details discussed and agreed with the institutions. so that’s the basis on which we, uh, work. uh, yanis, can i ask you to react on the couple of issues raised by, uh, mario and the commission, uh, christine?",1900-01-01 00:15:23,2015-02-24 00:00:00
yanis varoufakis,"yeah, sure. thank you so much, uh, jeroen. let me… how i would begin by thanking, um, you, as the president of the eurogroup, for your role in helping establish the necessary common ground to reach where we are at present. i also want, want to thank the institutions for, uh, um, the constructive relationship we had over the last 48 hours, and for so swiftly reading our list and coming to the verdict or the recommendation that you have come. i do believe, and the government believes, here in athens, that we now have a firm basis on which to build a solid agreement, and, uh… for the next four months at least, and, uh, work towards, uh, the review. let me now, uh, do as, uh, you said jerome, and address, uh, some specific issues that were mentioned.",1900-01-01 00:16:09,2015-02-24 00:00:00
yanis varoufakis,"um, there are some minor issues which we can deal with very, very swiftly. that the letter wasn’t signed, it was sent at midnight, so, um, there were technical issues involved there, but we can deal with that. this is a response to one of the commissions points. um, the question of no unilateral moves, and the need to collaborate with institutions in everything we do has been mentioned by all three institutions. i shall convey this view to my government. it is our in- intention not to make any such moves, as we have stated in our letter to the eurogroup. we have, uh, every intention to collaborate with institutions and to make sure whatever we introduce in parliament and whatever measures are, um, discussed and deployed, uh, should be discussed and deployed in conjunction with agreement with institutions.",1900-01-01 00:17:04,2015-02-24 00:00:00
yanis varoufakis,"pierre moscovici mentioned, uh, elstat, the greek statistics office, and suggested there should be no revision of the legal, um, framework and the autonomy. we understand perfectly well the need not to return to the bad old days of greek statistics, and we as a government have absolutely no intention whatsoever of interfering with the work of elstat. but let me say that this kind of autonomy has to cut both ways, in the sense that both eurostat, and the greek government, and every member state and all the institutions must have, um, confidence in the workings of elstat. at the moment, i cannot tell you that i do. that is a separate issue from, uh, keeping elstat at an arms length from government. what i would like to do is discuss with institutions and with eurostat, ways in which we can regain confidence in elstat.",1900-01-01 00:18:06,2015-02-24 00:00:00
yanis varoufakis,"but that is completely separate from the point that pierre moscovici made. i shall reiterate the point. we shall under no circumstances, uh, do anything to jeopardize the autonomy of elstat, uh, and we shall do nothing without the consent of the commission of the imf, of the ecb, uh, of the eurogroup in this direction. but i do believe, this is the view that some of us in this government have, who’ve looked into the operation of elstat over the last few months, that we need, uh, for all of us together to have another at the way that elstat functions. uh, but again, let me make this very clear, this is not something we intend to do alone. we want to do it in conjunction with you.",1900-01-01 00:19:11,2015-02-24 00:00:00
yanis varoufakis,"regarding the financial sector and tax compliance, this is a point that each one of you made, each one of the institutions made, um, there is, um, lack of trust regarding installment schemes. let me remind you that this installment scheme that is now on the statutes in… here in greece, was introduced by the previous government. and i do believe that, uh, the institutions had, uh, objections to that. we are happy to look at these, uh, installment schemes together with our… with, with institutions and with all our partners. there is a very crucial problem here. th- th- th- th- the level of arrears, uh, tax arrears, as you probably all know reaches 90 percent of the greek government budget. now that is a huge amount that has to do with… is a result of the deep crisis of this, uh, social economy. and we need to deal with this, and we need to deal effectively with it by ensuring that whatever it is that we do does not encourage, indeed, punishes strategic non-payment, while at the same time finds ways of dealing with dealing, of giving those who can afford to pay a portion only of what they owe a way of doing this, especially given the current state of our financial situation.",1900-01-01 00:19:52,2015-02-24 00:00:00
yanis varoufakis,"um, on the npls, and i take very seriously what mario draghi and the ecb are saying about the need to, um, ensure that the capitalization of banks is not threatened by, uh, our policies regarding, um, npls. again, it is important to note that we have very special circumstances in greece, which i’ll not do… make any, um, uh, unilateral move on this, and of course we need to have the backing of the ecb in everything we do.",1900-01-01 00:21:13,2015-02-24 00:00:00
yanis varoufakis,"but let me…since we are talking about this, let me point that, that there are special circumstances. we have a realistic market that has tanked and the notion that we are going to have options of first residences in order to bolster the capitalization of the banks is one that, uh, that needs to be discussed. and, uh, we need to discuss it with you. this is not the venue to do it. but there are serious worries that a massive increase in auctions, uh, in the tanking market is not going to help the banks while at the same time is going to create side-effects in the capacity of the social economy, both to increase, uh, the tax take of the government, and, uh, to increase economic activity. but let me say that, uh, this government is determined to discuss with institutions and arrange common agreement with them on how to deal with these, with these matters.",1900-01-01 00:21:49,2015-02-24 00:00:00
yanis varoufakis,"now, on the question that mario draghi raised regarding the fsf and the hfsf, uh, let me just state that, um, for the record to rest everyone… um, rest assure everyone that this government is not going to request for an amendment of the friday eurogroup agreement. um, we are more than happy to go along with that agreement, and to see the fsf retain the control of the remaining funds, in order to use them for the purposes of recapitalization of the banking sector and resolution, possible resolution. uh, on the, on the question of, uh, a rollback, especially when it comes to privatizations, um, on this matter, as you will see from our… from the relevant entry in our list, we have, uh, made it very clear that completed, uh, um, completed, uh, privatizations are going to be considered to be sacrosanct from this government. the ones that have been launched will be dealt with in accordance to the law, and in ways that, uh, combine the public interest with the need, the necessity of collaborating with institutions and with the eurogroup.",1900-01-01 00:22:47,2015-02-24 00:00:00
yanis varoufakis,"let me finish by, uh, addressing christine lagarde’s two points. the first one is an assurance that i can give christine and everybody in this conference call that there exists no separate greek list, separate from the one you have. of course, as you can imagine, our… this list is only, uh, a five page document. uh, we have, uh, um a series of, uh, commitments to the greek public. we shall not make any moves, as i said before, that, uh, undermine the bonds of trust that we are trying to build currently. um, but there is no such thing as a separate greek list. there may be different interpretations of, uh, the current, uh, state of negotiation, of exchange between us, of commitment. and let me just make this t- t- this point a bit more tangible.",1900-01-01 00:24:07,2015-02-24 00:00:00
yanis varoufakis,"i heard from all three institutions the statement that, um, this list is not a replacement of the mou, and that this list is going to simply being grafted upon the mou or we will have to negotiate ways in which the current mou will have to be amended. now, as you know, we’ve spent three eurogroups discussing the imperative of combining the existing program with, uh, the, the new government’s priorities. and i th- i have… i am… i was under the impression, and this government was under the impression that we are making a fresh start without challenging the legal existence of the mou.",1900-01-01 00:25:06,2015-02-24 00:00:00
yanis varoufakis,"we shall insist on maintaining, in a collegial manner, this constructive ambiguity, um, and we are going to try do, to do our, ou- our, our best in order to ensure that the review is completed, on the understanding that this governments, um, um, list that you have in front of you, is taken, um, as the starting point regarding th- th- the judgment that is going to be passed upon us over the next four months. the next four or five months is a very short space of time. if we can do what we agree that we should do by april, um, and do it in the spirit that con- that confirms both the existing program and the intention of moving on, and moving ahead, and moving to a new relationship after june, i think that will be an excellent way of moving ahead.",1900-01-01 00:25:51,2015-02-24 00:00:00
yanis varoufakis,"i was asked also by christine lagarde to explain the liquidity condition of the government. i’m not in a situa- in, in, in, uh, in a position to do this presently. uh, the… as you kn- as everybody knows, especially the international monetary fund, our liquid- liquidity condition given the destabilization of the greek economy over the last two months, uh, is not good at all. but my understanding was that today, what we are doing is we are setting the scene, establishing the base, the foundation, for beginning immediate discussions on all those matters including the fiscal cap that we are facing over the next few weeks, in particular, the repayments of the imf loans in installments, which are coming up soon. um, it was a discussion we couldn’t have until today’s hurdle has been overcome, but it is a discussion that we are prepared to begin even tonight, if you so wish.",1900-01-01 00:26:48,2015-02-24 00:00:00
yanis varoufakis,"um, i think i have spoken enough. i want to thank, once more, the institutions. the way i understand this conference call is to answer the question whether our list is sufficiently comprehensive to act as the starting point of a process that will stabilize greece and our relationship with, uh, the eurogroup and the institutions, in order to build trust and to move ahead. thank you.",1900-01-01 00:27:44,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you, yanis. um, let me for, uh, opening, uh, the, the, the floor to other ministers. uh, we iterate that the basis that we are working on is the eurogroup statement which, um, uh, talks about on the base of the framework of the existing arrangements, uh, underpinned by a set of commitments which are then spelled out. and i think one of the key ones there is that starting from the current arrangement, there can be use of the given flexibility that had to be always after consulting and agreeing with the institutions any changes to the arrangements. i think that could… that clear issue, and you underlined the, um, uh… how the greek government is committed on this point.",1900-01-01 00:28:06,2015-02-24 00:00:00
jeroen dijsselbloem,"um, on top of that, we now have the list which is a third list of reform measures, based on the current arrangements and the institution that provided us with their first views, which, um, uh, was, if i summarize it, that the list is sufficiently comprehensive to be a valid starting point for a successful conclusion of the reissue. um, i think those are the key, uh, elements. this is where we are, this is how we will work, and all of this… if the national procedures are started and successfully, um, finished by the end of the week, then, very intensively, the work can start on many of the issues that were brought up, uh, and, um, many of the issues that you mentioned.",1900-01-01 00:28:59,2015-02-24 00:00:00
jeroen dijsselbloem,now i’d like to-,1900-01-01 00:29:50,2015-02-24 00:00:00
christine lagarde,"jeroen? jeroen? can i, can i just come in for uh, uh, a few seconds to, um, reinforce your point, and also mention just for the clarity of what we bring in the next few days, that the review is a comprehensive review. it can not be a scattered, fragmented review of some items and not others. it has to be comprehensive in order to lead to success, and then . but it’s comprehensive.",1900-01-01 00:29:50,2015-02-24 00:00:00
jeroen dijsselbloem,"that’s right. thank you for your remark. um, the floor is to new ministers, who can i give the floor? uh, any of-",1900-01-01 00:30:17,2015-02-24 00:00:00
wolfgang schäuble,"if i may… uh, uh, jeroen, if i may i can, i can say a few words.",1900-01-01 00:30:30,2015-02-24 00:00:00
jeroen dijsselbloem,"please, wolfgang.",1900-01-01 00:30:35,2015-02-24 00:00:00
wolfgang schäuble,"i would, uh, uh, start, uh, saying to the institutions for this, uh, first view on, on, on, on the list that we got, um, in time, uh, from greek authorities, and therefore we are in line with the statement from friday, and that is the, the key. and on this, on this basis, i think, uh, it would be, it would be very helpful, uh, that we will not, uh, uh, change anything that was just mentioned in the hfsf. and it must be totally clear what we are asking of our parliaments is an extension of the given agreement, nothing else. not an amendment of the agreement. uh, it has to be, uh, very clear. we will do it as, uh, already initiated to measure and the legislation procedures, i need to, of course, um, the, the common decision of the eurogroup in this conference call, but i think on the, on, in, on the basis of the list we got from, from greek authorities, uh, and uh, with, with, with the use of the three institutions, uh, we should, uh, we should move on in this way.",1900-01-01 00:30:37,2015-02-24 00:00:00
wolfgang schäuble,"i would, uh…  but i won’t like to repeat it. uh, it was an issue of the budget 2015, that is a major issue for, for the ongoing review, uh, for the, for a successful revision of the program. and then i would like, uh, to add, uh, that in the list of the, of the greek authorities, the brrd implementation is not mentioned, and i think, uh, greece, uh, should transpose this directive into greek law as a matter of high priority.",1900-01-01 00:31:43,2015-02-24 00:00:00
wolfgang schäuble,"and last, uh, last in my, uh, in the area of labor market reforms, the issue of collective dismissal, that is not yet addressed as also i think it should be… have in mind. and, uh, the, uh, the end of april when we will… when, when that is the time  will be further specified and then agreed with the institution. uh, but, once again, uh, it would be clear on this pages, we could, uh, agree to a common statement that will align us to trust you on the basis of first view of the three institutions. there we would, uh, uh, uh, go on in the national, uh, procedures to, to agree on the extension of the program in this week.",1900-01-01 00:32:27,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you wolfgang. um, think on the issue of the budget of 15, um, the statement, uh, made quite clear where we stand in terms of the fiscal targets, the friday statement and the other two issues will have to be, uh, picked up in the process in the coming weeks. um, and the same would go for the, uh, collective, uh, uh, dismissals. any changes there would, uh, be wanted or necessary or required, that would have to be in the context of, uh, changes to the mou, which can only be decided together with the institutions, at the latest, end of april. um, any other comments or questions from the ministry?",1900-01-01 00:33:11,2015-02-24 00:00:00
jānis reirs,jeroen  speak-,1900-01-01 00:33:57,2015-02-24 00:00:00
jeroen dijsselbloem,"yes, yanis.",1900-01-01 00:34:00,2015-02-24 00:00:00
jānis reirs,"thank you, jeroen. i would like to thank, uh, the institutions, uh, for their job, and, uh i agree with this all. uh, there are numerous systems in institutions i would like to , probably it will be. and i would love, uh, i would like to ask, uh, some, uh, help or, or from, from yanis, so from yanis. yanis, help us please to keep in calm our public, uh, opinion and our public opinion. an- and, uh, don’t push us to answer, um, your, uh, your signals from greece. because it’s, it’s not, uh fair that uh, we sit in one room and, uh, decided about one, and, uh, then we get, uh, uh, opinion of, uh, one hundred fifty, uh, greek, uh, the greeks. and, uh, i think it’s not, not fair, and our… we have, we have electorates too in our countries, and, uh, uh, we should something tell them, and, uh, believe what they say. allowed to keeping calm on this situation. thank you.",1900-01-01 00:34:04,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you yanis. um, i think, uh, your point on helpful communication is made by all of us. also, the institutions refer to it. it will be very helpful for the credible whole process that we are now entering that we communicate, uh, in one way, and not differently in europe and at home. uh, i think that’s a very valid point to make. any other new-",1900-01-01 00:35:29,2015-02-24 00:00:00
luis de guindos,"jeroen, this is luis..",1900-01-01 00:35:58,2015-02-24 00:00:00
jeroen dijsselbloem,luis. go ahead.,1900-01-01 00:35:59,2015-02-24 00:00:00
luis de guindos,"thank you very much. first of all, let me thank the institutions. uh, despite the fact that, uh, you know, these are the endorsements, with caveats that i have heard in my life. but also, i think perhaps an indication of, uh, you know, a high level of escape criticism, that i think that is something that is relevant. but anyhow now i would like to stress some points. the first one is that we are starting a process. and this is something that is, uh, you know, quite, uh, quite relevant, because, uh, you know, we will have to finalize uh, in april a new memorandum that will be based in the, in the present arrangement. and this is something that, uh, i think that we have to, to maintain, and to keep it very clear.",1900-01-01 00:36:02,2015-02-24 00:00:00
luis de guindos,"another one is about communication. i fully agree with janis that, uh, the greek government, you know, is  approaches only create problems, you know, in terms of communication. so it will be, uh, you know, so important that, uh, all the, all the messages are fully aligned with the process that we have, uh, started now, and that, uh, you know, the beginning of the, of the, of the process, and that, uh, creating unnecessary noise is not going to be very helpful. thank you very much.",1900-01-01 00:36:43,2015-02-24 00:00:00
jeroen dijsselbloem,"okay. thank you luis. uh, any other colleagues?",1900-01-01 00:37:20,2015-02-24 00:00:00
michael noonan,"um, hello?",1900-01-01 00:37:28,2015-02-24 00:00:00
jeroen dijsselbloem,hello. who’s there?,1900-01-01 00:37:30,2015-02-24 00:00:00
michael noonan, it’s michael.,1900-01-01 00:37:31,2015-02-24 00:00:00
jeroen dijsselbloem,"michael, go ahead.",1900-01-01 00:37:32,2015-02-24 00:00:00
michael noonan,"yeah, i’d like to welcome the work of the institutions also, like other colleagues have done. uh, when i saw the greek list i was disappointed. i thought it lacked specifics, and there’s no arithmetic on . but in the context of what we were seeking as an extension to the existing program, and any substitution of conditions, uh, would have to be fully costed and, uh, fully vouched for by the institutions, uh, then i’m, i’m prepared to, uh, wait and see, and go ahead with the process. but i can see, uh, some difficulties at the end of the process for a successful review of the program. that being said, i won’t, uh, i won’t debate the meeting.",1900-01-01 00:37:35,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you, michael. i think it’s, uh, fair to remember that, um, this was only a first list of reform measures from the greek authorities, which we asked, and it’s not been, uh, elaborated on, not been negotiated on with the institutions. so it is what it is, uh, and the question was formulated by the eurogroup whether it was, um, comprehens- sufficiently comprehensive. so i think that’s where we stand, and that the real negotiations and getting the details right is a long process that’s yet to start. any other colleagues at this point?",1900-01-01 00:38:27,2015-02-24 00:00:00
maria luís albuquerque,"jeroen? maria luís. can i ask a question? uh, it’s, um,  i’d also like to echo, um, thanking the institutions for the, this first assessment, and i’m sure we’ll all, all have a lot to discuss in, uh, in the coming weeks and months. but, uh, getting to the point that several colleagues raised, communication is critical here. so, uh, maybe you were going to say it anyway, but, uh, i think that we should have an agreement here on what communicators this will be. letters of assessment via the institution have been made public. uh, will there be a statement plus debate meeting? how do you intend to, uh, to communicate going forward, because we have the whole press waiting to hear what comes out of this conference call. thank you.",1900-01-01 00:39:09,2015-02-24 00:00:00
jeroen dijsselbloem,"um, maria luís, thanks. that was my… the last, uh, item on my agenda today, to talk about communication. so, let me come back to that in a minute. let me just check if, uh, any more, uh, comments on the list and the commission’s first… sorry, the institution’s first view on the list. uh, if not, we can turn to communication issues. one is that your question, what is public, or going to be made public, in the-",1900-01-01 00:40:02,2015-02-24 00:00:00
mario draghi,"jeroen? jeroen? before, before… just to get, uh, make sure that i have understood. do i understand that, uh, the previous agreement will be in… fully respected?",1900-01-01 00:40:34,2015-02-24 00:00:00
jeroen dijsselbloem,absolutely. absolutely.,1900-01-01 00:40:50,2015-02-24 00:00:00
mario draghi,thanks. thank you.,1900-01-01 00:40:53,2015-02-24 00:00:00
jeroen dijsselbloem,"i’m not going to change a single word. um, um, the first question by maria luís was what documents will be made public. the commission has made it’s letter on the list public, i don’t think the other two institutions have done the same. so perhaps they can indicate whether they want to make it public or not. and yanis, perhaps you can indicate whether your list is made public, or will be made public, or how would you like to proceed with that? uh, can i ask mario first?",1900-01-01 00:40:54,2015-02-24 00:00:00
mario draghi,"yes, certainly. we can make it public. no problem.",1900-01-01 00:41:30,2015-02-24 00:00:00
jeroen dijsselbloem,"uh, thank you. christine?",1900-01-01 00:41:34,2015-02-24 00:00:00
christine lagarde,"yeah, we can make it public too. we thought it would be polite to the group to wait until the conference call was over.",1900-01-01 00:41:37,2015-02-24 00:00:00
jeroen dijsselbloem,agreed. thank you. yanis?,1900-01-01 00:41:43,2015-02-24 00:00:00
yanis varoufakis,"yes, uh, we would very much like to make our list public. uh, for some reason it has already been made public even though it certainly did not leak from our side. um, but, l- l- let… if i may say, on the question of communication, uh, jeroen, that, uh, my… the view that, uh, luis, uh, expressed is the one that we can run with very happily and, uh, profitably. and that is from our perspective, we see today as the beginning of a new process. that we very much look forward to completing in association with our partners and institutions.",1900-01-01 00:41:46,2015-02-24 00:00:00
jeroen dijsselbloem,"thank you. um, and colleagues, as we are speaking, uh, there is a very short eurogroup statement, a draft, which is being sent to, uh, your deputies. it should come in, uh, any minute. uh, it reads… it uses exactly the words of friday’s statement, uh, and it sounds like this. “the eurogroup today discussed the first list of reform measures presented by the greek authorities, based on the current arrangement, which will be sp- further specified and then agreed, but with the institutions, at the latest by the end of april. the institutions provided us with their first view, that they consider this list of measures to be sufficiently comprehensive to be a valid starting point for a successful conclusion of the review. we therefore agreed to proceed with the national procedures, with a view to reaching the final decision on the extension by up to four months, on the current master financial assistance facility agreements. we call on the greek authorities to further develop and broaden the list of reforms, measures in close coordination with the institutions, in order to allow for a speedy conclusion… i should say, a speedy and successful conclusion of the review.”",1900-01-01 00:42:26,2015-02-24 00:00:00
jeroen dijsselbloem,"so that is the draft statement. it should come in, uh, in, in your deputies email boxes. perhaps you can, uh, look at it for a minute, and i would ask for reactions.",1900-01-01 00:43:48,2015-02-24 00:00:00
yanis varoufakis,"jeroen, i’m quite happy… this is yanis varoufakis. i’m quite happy to accept it just from having heard it.",1900-01-01 00:44:04,2015-02-24 00:00:00
jeroen dijsselbloem,thank you.,1900-01-01 00:44:11,2015-02-24 00:00:00
mario draghi,jeroen? jeroen?,1900-01-01 00:44:28,2015-02-24 00:00:00
jeroen dijsselbloem,"yes, mario.",1900-01-01 00:44:31,2015-02-24 00:00:00
mario draghi,"on…i have one, one suggestion. in the last, uh, paragraph it says, “we call on the greek authorities to further develop and broaden the list of reform measures, based on current arrangements.”",1900-01-01 00:44:32,2015-02-24 00:00:00
jeroen dijsselbloem,okay. ,1900-01-01 00:44:47,2015-02-24 00:00:00
